Tamaño del Archivo (KB),Número de Documentos,Tiempo de Procesamiento (ms),multa,retrabajo (hrs),cluster
452.6421981145445,64.90918054613672,1640.9194961799399,-10.23438139099815,0.19162193422084256,1
582.5336450742019,89.6325310533584,2177.0790316770776,285.2549737833397,3.9019806476205803,0
464.7119337186426,62.63363244911929,1659.682462401964,-23.383935577024836,-0.3974651539330478,1
474.4022179498828,58.01035581664895,1475.1150552164904,44.796976422367145,0.06506203645844022,2
371.8720574989793,50.89501022937236,1289.52026233461,30.883935730954935,-0.17079866447949188,2
573.5023847939663,75.52663493953665,2128.1664352950297,257.0784095217412,3.6729624763820894,0
597.3022480281293,89.1558585861762,2228.742051918181,28.49669513768233,-0.13984401536009067,1
784.4791226080124,112.62527389050446,2879.2643274644993,315.7119164104056,5.77976704891209,0
596.3408376909549,86.30504872749722,2312.0328732277485,236.39777794235732,4.681469722181323,0
644.6261545388915,94.3192100756869,2324.5058835615964,259.6358854332953,4.317829866754008,0
481.15158032503183,72.55182966801456,1803.5525409505078,6.778516067993424,-0.018314723638981803,1
515.5854884560208,78.80976160691343,1829.8572155662225,3.784703710539468,0.16544163138203344,1
707.4236160269786,106.52527905181864,2618.4052178295715,331.03151574671676,4.644118162577231,0
351.1979822692968,56.155000881764586,1407.51600407561,7.165428801307547,-0.3081071305970682,2
584.3630633578535,87.43563575790537,2295.392558809944,239.9033838742012,4.494738721255251,0
531.5605700328294,81.41261915159758,1971.7898640021394,-12.936299625222182,-0.36266449166427167,1
388.5288007975471,62.338465071519806,1503.331547227596,17.62700872980311,-0.1308069888926368,2
478.8146480384367,69.29360282321285,1708.4137102306538,-43.2362115043954,0.99551281027079,1
321.7981717471139,56.346661325489166,1249.6594475190084,-33.480351987657365,-0.6011986158832735,2
145.36515286358218,23.723931303728868,702.0059694963492,-8.840143697856613,0.5682644445804393,2
409.2583026962617,53.377289705717665,1287.4704097543547,21.983603041151426,0.13628276387408483,2
503.61905787174936,75.21856195692759,1735.8413477970923,-5.141713023069088,-0.4882339007880444,1
370.3662021508459,52.03283793540101,1369.8872272177482,10.934275432759923,0.27067449157335166,2
439.93706700987735,69.44422378844978,1803.6917660166587,0.11422058461577093,0.017111846267156866,1
512.78750957728,74.57212871733297,2022.603875644077,-3.3413028443620854,0.48078238120874206,1
444.5712868176329,63.83346084744361,1516.6356367743479,-15.509169478962484,0.26345631032159766,2
368.9644761748591,62.51101039364009,1392.995932991331,19.922400935955153,0.07830923595517715,2
434.35969238413566,60.817882188852735,1441.9929305219557,-29.7538283297143,-0.12223340255197858,2
315.3560240889453,45.67168127177884,1147.9685174735873,-5.542829301192989,0.4662553685251056,2
609.6249667827725,93.41203990765221,2314.4973154695967,297.188558368843,4.343623985061349,0
624.5447346245193,89.93665152765152,2308.9074028172818,260.87050666779817,4.091497767177103,0
501.30591691833973,65.98035978971512,1658.0737878316731,-36.919540820605114,-0.7562216636830702,1
545.7409273501846,81.68043495052218,2020.7617387091,-50.21552775497709,-0.4930128939482529,1
400.82410360879464,64.73507751138999,1473.4855889247626,15.805411669151523,0.3202849988257153,2
543.1677664585936,80.5571791279461,2026.7467419520028,17.40287960499504,-0.1448816101961441,1
